역명,주소,사유
강남구청,서울특별시 강남구 학동로 지하346(삼성동),'NoneType' object is not subscriptable
학동,서울특별시 강남구 학동로 지하180(논현동),'NoneType' object is not subscriptable
논현,서울특별시 강남구 학동로 지하102(논현동),'NoneType' object is not subscriptable
반포,서울특별시 서초구 신반포로 지하241(잠원동),'NoneType' object is not subscriptable
고속터미널,서울특별시 서초구 신반포로 지하188(반포동),'NoneType' object is not subscriptable
내방,서울특별시 서초구 서초대로 지하103(방배동),'NoneType' object is not subscriptable
이수,서울특별시 동작구 사당로 지하310(사당동),'NoneType' object is not subscriptable
남성,서울특별시 동작구 사당로 지하218(사당동),'NoneType' object is not subscriptable
숭실대입구(살피재),서울특별시 동작구 상도로 지하378(상도동),'NoneType' object is not subscriptable
상도,서울특별시 동작구 상도로 지하272(상도1동),'NoneType' object is not subscriptable
장승배기,서울특별시 동작구 상도로 지하188(상도동) ,'NoneType' object is not subscriptable
신대방삼거리,서울특별시 동작구 상도로 지하76(대방동),'NoneType' object is not subscriptable
보라매,서울특별시 동작구 상도로 지하2(대방동),'NoneType' object is not subscriptable
신풍,서울특별시 영등포구 신풍로 지하27(신길동),'NoneType' object is not subscriptable
대림(구로구청),서울특별시 영등포구 도림로 지하137(대림동),'NoneType' object is not subscriptable
남구로,서울특별시 구로구 도림로 지하7(구로동) ,'NoneType' object is not subscriptable
가산디지털단지,서울특별시 금천구 벚꽃로 309(가산동),'NoneType' object is not subscriptable
철산,경기도 광명시 철산로 지하13(철산동),'NoneType' object is not subscriptable
광명사거리,경기도 광명시 오리로 지하980(광명동),'NoneType' object is not subscriptable
천왕,서울특별시 구로구 오리로 지하1154(천왕동),'NoneType' object is not subscriptable
온수(성공회대입구),서울특별시 구로구 경인로3길 지하64(온수동),'NoneType' object is not subscriptable
암사,서울특별시 강동구 올림픽로 지하776(암사동),'NoneType' object is not subscriptable
암사역사공원역,서울시 강동구 아리수로 27번길 2,'NoneType' object is not subscriptable
천호(풍납토성),서울특별시 강동구 천호대로 지하997(천호동),'NoneType' object is not subscriptable
강동구청,서울특별시 강동구 올림픽로 지하550(성내동),'NoneType' object is not subscriptable
